mosaic ID,Genus/Species,Morphology
0,Acropora (branching),Branching
1,Acropora (corymbose),Corymbose
2,Acropora (plating),Tabular
3,Astreopora myriophthalma,Sub_massive
4,Clavularia,Fleshy_invert
5,Corallimorph,Corallimorph
,,
6,Dictyosphaeria,Encrusting_macroalgae
7,Favia matthai,Massive
8,Favia stelligera,Sub_massive
9,Favites (encrusting),Encrusting
10,Favites (submassive),Sub_massive
11,Fungia,Free_living
,,
,,
12,Halimeda,Erect_macroalgae
13,Halomitra pileus,Free_living
,,
14,Hydnophora exesa,Plating
15,Hydnophora microconos,Massive
16,Leptastrea,Encrusting
,,
17,Lobophyllia,Massive
18,Montastrea curta,Massive
19,Montipora (encrusting),Encrusting
20,Montipora (plating),Plating
,,
21,Pasmmocora,Encrusting
22,Pavona (submassive),Sub_massive
23,Pavona varians,Encrusting
24,Platygyra,Massive
25,Pocillopora,Corymbose
26,Pocillopora eydouxi,Corymbose
27,Porites (massive),Massive
28,Porites rus,Massive
29,Porites superfusa,Encrusting
,,
30,Soft coral,Soft
31,Stylophora pistillata,Corymbose
32,Turbinaria reniformis,Plating
,,
,,
,,
,,
33,Zooanthid,Fleshy_invert
34,Unidentified,Unidentified
